g-force,time,trot,canter
3749,669732,,
3743,669758,,
3734,669784,,
3746,669808,,
3768,669834,,
3768,669859,,
3784,669888,,
3834,670019,,
3806,670073,,
3771,670101,,
3755,670127,,
3782,670151,,
3754,670177,,
3779,670202,,
3818,670227,,
3852,670253,,
3813,670278,,
3811,670307,,
3821,670332,,
3830,670358,,
3766,670383,,
3790,670408,,
3813,670434,,
3844,670459,,
3814,670484,,
3784,670510,,
3797,670535,,
3771,670561,,
3790,670585,,
3748,670611,,
3727,670637,,
3697,670662,,
3762,670688,,
3758,670767,,
3801,670792,,
3817,670822,,
3762,670870,,
3763,671008,,
3799,671033,,
3759,671059,,
3746,671086,,
3796,671111,,
3783,671136,,
3797,671162,,
3751,671186,,
3801,671212,,
3778,671238,,
3813,671262,,
3775,671288,,
3828,671313,,
3847,671339,,
3793,671364,,
3791,671389,,
3819,671418,,
3776,671443,,
3732,671469,,
3747,671494,,
3765,671519,,
3749,671545,,
3742,671569,,
3719,671595,,
3808,671621,,
3734,671645,,
3841,671671,,
3735,671696,,
3733,671722,,
3766,671747,,
3742,671772,,
3775,671798,,
3776,671822,,
3804,671873,,
3782,672011,,
3752,672036,,
3772,672062,,
3773,672089,,
3786,672114,,
3759,672139,,
3811,672164,,
3747,672190,,
3780,672215,,
3782,672240,,
3807,672266,,
3830,672291,,
3809,672316,,
3781,672342,,
3755,672367,,
3808,672392,,
3831,672417,,
3823,672443,,
3838,672467,,
3789,672497,,
3780,672522,,
3775,672547,,
3827,672573,,
3816,672598,,
3860,672623,,
3860,672649,,
3846,672673,,
3825,672699,,
3795,672724,,
3824,672749,,
3766,672775,,
3819,672800,,
3814,672825,,
3878,672887,,
3830,673005,,
3816,673032,,
3830,673057,,
3844,673087,,
3832,673112,,
3832,673137,,
3807,673162,,
3804,673187,,
3884,673213,,
3865,673239,,
3890,673263,,
3867,673289,,
3901,673313,,
3865,673339,,
3817,673364,,
3896,673389,,
3816,673415,,
3839,673440,,
3828,673465,,
3868,673490,,
3822,673516,,
3802,673544,,
3839,673569,,
3859,673594,,
3862,673619,,
3850,673645,,
3824,673670,,
3854,673751,,
3842,673775,,
3839,673801,,
3893,673826,,
3883,673873,,
3840,674013,,
3862,674063,,
3900,674089,,
3872,674115,,
3801,674141,,
